level0,level1,level2,level2,code,name,note,latitude,longitude
จ.เชียงราย,แม่สาย,องค์การบริหารส่วนตําบลเกาะช้าง,เกาะช้าง,6757,รพ.สต.เกาะช้าง,รพ.สต.,20.398,100.01
จ.เชียงราย,เวียงชัย,เทศบาลตำบลเวียงเหนือ,เวียงเหนือ,6672,รพ.สต.เวียงเหนือ,รพ.สต.,19.932,99.94
จ.เชียงราย,พาน,องค์การบริหารส่วนตําบลธารทอง,ธารทอง,6707,รพ.สต.ธารทอง,รพ.สต.,19.71,99.723
จ.เชียงราย,เชียงแสน,เทศบาลตำบลป่าสัก,ป่าสัก,6745,รพ.สต.บ้านแม่คำ,รพ.สต.,20.28,100.003
จ.เชียงราย,เชียงแสน,เทศบาลตำบลป่าสัก,ป่าสัก,6746,รพ.สต.ป่าสัก,รพ.สต.,20.28,100.003
จ.เชียงราย,แม่ลาว,เทศบาลตำบลป่าก่อดำ,ป่าก่อดำ,6811,รพ.สต.บ้านโป่งมอญ,รพ.สต.,19.794,99.715
จ.เชียงราย,แม่ลาว,เทศบาลตำบลป่าก่อดำ,ป่าก่อดำ,6812,รพ.สต.ป่าก่อดำ,รพ.สต.,19.794,99.715
จ.เชียงราย,เมืองเชียงราย,เทศบาลตำบลท่าสาย,ท่าสาย,6667,รพ.สต.ท่าสาย,รพ.สต.,19.837,99.851
จ.เชียงราย,เวียงชัย,เทศบาลตำบลเวียงชัย,เวียงชัย,6669,รพ.สต.บ้านด้ายหนองหล่ม,รพ.สต.,19.866,99.912
จ.เชียงราย,เวียงชัย,เทศบาลตำบลเวียงชัย,เวียงชัย,15003,รพ.สต.เวียงชัย,รพ.สต.,19.866,99.912
จ.เชียงราย,เวียงชัย,เทศบาลตำบลเวียงชัย,เวียงชัย,15012,รพ.สมเด็จพระญาณสังวร,รพ.,19.866,99.912
จ.เชียงราย,พาน,องค์การบริหารส่วนตําบลเจริญเมือง,เจริญเมือง,6711,รพ.สต.เจริญเมือง,รพ.สต.,19.616,99.746
จ.เชียงราย,พาน,องค์การบริหารส่วนตําบลเจริญเมือง,เจริญเมือง,6712,รพ.สต.บ้านป่าบง,รพ.สต.,19.616,99.746
จ.เชียงราย,เชียงของ,เทศบาลตำบลบุญเรือง,บุญเรือง,6681,รพ.สต.บุญเรือง,รพ.สต.,19.989,100.347
จ.เชียงราย,แม่จัน,เทศบาลตำบลป่าซาง,ป่าซาง,6733,รพ.สต.บ้านพระราชทาน,รพ.สต.,20.181,99.846
จ.เชียงราย,แม่จัน,เทศบาลตำบลป่าซาง,ป่าซาง,6734,รพ.สต.บ้านใหม่พัฒนา,รพ.สต.,20.181,99.846
จ.เชียงราย,เมืองเชียงราย,เทศบาลตำบลรอบเวียง,รอบเวียง,6644,รพ.สต.บ้านหัวฝายรอบเวียง,รพ.สต.,19.898,99.803
จ.เชียงราย,เมืองเชียงราย,เทศบาลตำบลรอบเวียง,รอบเวียง,6646,รพ.สต.รอบเวียง,รพ.สต.,19.898,99.803
จ.เชียงราย,เมืองเชียงราย,เทศบาลตำบลรอบเวียง,รอบเวียง,6649,รพ.สต.บ้านนางแล,รพ.สต.,19.898,99.803
จ.เชียงราย,เมืองเชียงราย,เทศบาลตำบลรอบเวียง,รอบเวียง,6655,รพ.สต.แม่กรณ์,รพ.สต.,19.898,99.803
จ.เชียงราย,เมืองเชียงราย,เทศบาลรอบเวียง,รอบเวียง,14877,รพ.สต.บ้านป่ายางมนต์,รพ.สต.,19.898,99.803
จ.เชียงราย,เมืองเชียงราย,เทศบาลตำบลรอบเวียง,รอบเวียง,10674,รพ.เชียงรายประชานุเคราะห์,รพ.,19.898,99.803
จ.เชียงราย,แม่ลาว,องค์การบริหารส่วนตําบลโป่งแพร่,โป่งแพร่,6813,รพ.สต.โป่งแพร่,รพ.สต.,19.812,99.653
จ.เชียงราย,แม่ลาว,องค์การบริหารส่วนตําบลโป่งแพร่,โป่งแพร่,6814,รพ.สต.บ้านห้วยส้านพลับพลา,รพ.สต.,19.812,99.653
จ.เชียงราย,เชียงแสน,เทศบาลตำบลโยนก,โยนก,6754,รพ.สต.โยนก,รพ.สต.,20.238,100.062
จ.เชียงราย,ป่าแดด,เทศบาลตำบลโรงช้าง,โรงช้าง,6726,รพ.สต.โรงช้าง,รพ.สต.,19.494,99.947
จ.เชียงราย,พาน,องค์การบริหารส่วนตําบลสันกลาง,สันกลาง,6717,รพ.สต.สันกลาง,รพ.สต.,19.607,99.684
จ.เชียงราย,พาน,องค์การบริหารส่วนตําบลสันกลาง,สันกลาง,11780,รพ.สต.บ้านแม่คาวหลวง,รพ.สต.,19.607,99.684
จ.เชียงราย,ขุนตาล,เทศบาลตำบลป่าตาล,ป่าตาล,6796,รพ.สต.ป่าตาล,รพ.สต.,19.847,100.272
จ.เชียงราย,ขุนตาล,เทศบาลตำบลป่าตาล,ป่าตาล,6797,รพ.สต.บ้านป่าข่า,รพ.สต.,19.847,100.272
จ.เชียงราย,แม่ลาว,เทศบาลตำบลดงมะดะ,ดงมะดะ,6806,รพ.สต.ดงมะดะ,รพ.สต.,19.734,99.67
จ.เชียงราย,แม่ลาว,เทศบาลตำบลดงมะดะ,ดงมะดะ,6807,รพ.สต.บ้านห้วยส้านยาว,รพ.สต.,19.734,99.67
จ.เชียงราย,แม่ลาว,เทศบาลตำบลดงมะดะ,ดงมะดะ,6808,รพ.สต.บ้านท่าสันกลาง,รพ.สต.,19.734,99.67
จ.เชียงราย,แม่จัน,เทศบาลตำบลจันจว้า,จันจว้า,6729,รพ.สต.บ้านแม่คำน้ำลัด,รพ.สต.,20.239,99.982
จ.เชียงราย,แม่จัน,เทศบาลตำบลจันจว้า,จันจว้า,6730,รพ.สต.จันจว้า,รพ.สต.,20.239,99.982
จ.เชียงราย,เชียงแสน,เทศบาลตำบลเวียงเชียงแสน,เวียงเชียงแสน,6743,รพ.สต.บ้านสบรวก,รพ.สต.,20.305,100.081
จ.เชียงราย,เชียงแสน,เทศบาลตำบลเวียงเชียงแสน,เวียงเชียงแสน,6744,รพ.สต.เวียง,รพ.สต.,20.305,100.081
จ.เชียงราย,เชียงแสน,เทศบาลตำบลเวียงเชียงแสน,เวียงเชียงแสน,11193,รพ.เชียงแสน,รพ.,20.305,100.081
